pitch_no,game_date,pa_of_inning,pitch_of_pa,pitcher,pitcher_id,pitcher_throws,batter_side,pitcher_set,inning,top_bottom,outs,balls,strikes,tagged_pitch_type,auto_pitch_type,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
120,7/8/2018,5,5,Player B,111112,Right,Right,Undefined,4,Bottom,1,3,1,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,88.37332641,-1.883744415,-4.107975169,1593.877854,226.7296923,1:30,6.062531455,2.939265701,6.255620211,-26.06837678,9.261419552,9.346007287,1.919848503,-0.195871765,82.15914476,-6.988275942,-2.596996593,0.425332413,-5.393500039,4.565483325,-2.625347886,50,5.787046295,9.008371668,-128.9735715,-5.11609393,-9.177088572,24.26985872,-24.40583783
119,7/8/2018,5,4,Player B,111112,Right,Right,Undefined,4,Bottom,1,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.3233776,-3.399514021,-4.49128542,2395.543707,194.1499525,12:30,6.108650837,2.866700105,6.386586608,-13.7882188,17.42110545,5.248015773,1.586323059,-0.956326589,86.95799705,-6.225411604,-3.744778476,0.399453331,-3.369194196,9.481555154,-2.530914234,50,5.730153903,10.65904631,-137.347906,-8.675480169,-6.458605608,29.41597167,-13.99830037
118,7/8/2018,5,3,Player B,111112,Right,Right,Undefined,4,Bottom,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.9966034,-1.51570611,-3.116952848,2661.21306,45.22240089,7:30,6.220384075,2.621548872,6.044836411,-49.27961771,-6.825313409,-7.273209266,0.481099453,-0.989345897,75.87152459,-10.84951611,-4.715521924,0.466705197,3.76082629,-4.178551134,-2.363751084,50,5.953217039,6.698496228,-118.3131243,-4.648084208,5.346000271,21.96846365,-38.1138431
117,7/8/2018,5,2,Player B,111112,Right,Right,Undefined,4,Bottom,1,1,0,ChangeUp,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,89.39580298,-2.540242217,-2.751698557,1728.667656,198.8424765,12:45,6.091180153,2.853758502,6.534766038,-22.09143311,11.99433351,4.801241933,1.685723705,0.612816058,83.21889571,-6.921347772,-2.087432279,0.41768815,-2.608896523,6.2606658,-2.655871003,50,5.780956745,6.172432893,-130.6432773,-6.510507052,-4.557164026,24.76371141,-21.23805293
116,7/8/2018,5,1,Player B,111112,Right,Right,Undefined,4,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.91595884,-2.597839223,-4.48132437,2700.270818,43.38501104,7:30,6.164516398,2.762685703,5.933498802,-49.64276133,-7.383086989,-7.269169776,-0.622004688,-2.12969934,76.29340772,-11.95858832,-6.077696954,0.465623804,3.252431481,-4.102255756,-2.384946645,50,5.802751329,9.608774719,-119.2747065,-6.982515115,4.652000526,24.46746504,-38.04156523
115,7/8/2018,4,4,Player B,111112,Right,Left,Undefined,4,Bottom,0,2,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,93.16052054,-1.882253662,-3.330220727,2306.921599,199.0651473,12:45,6.118504896,2.935378623,6.358891792,-18.64731842,12.92171309,5.165798164,2.600568073,0.180595615,86.72813731,-5.609672279,-2.60127729,0.401778925,-2.908877431,6.545653866,-2.68553881,50,5.851100424,7.792158412,-136.0993695,-5.132953537,-5.530652473,26.04277628,-19.72878828
114,7/8/2018,4,3,Player B,111112,Right,Left,Undefined,4,Bottom,0,1,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28418228,-1.615295045,-2.022358014,1578.701022,218.3675479,1:15,6.030495502,3.106347477,6.454201393,-22.21245871,11.79762047,9.297274498,2.466926144,1.909699261,83.48869953,-6.012086849,-0.515668353,0.417218549,-4.830867639,5.869635329,-2.960881549,50,5.784736376,4.36590297,-130.6649222,-4.413967157,-8.495157814,23.10445149,-21.85220119
113,7/8/2018,4,2,Player B,111112,Right,Left,Undefined,4,Bottom,0,1,0,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.56673211,-1.979646802,-3.004242951,1597.771864,243.3565707,2:00,6.000853467,3.018199267,6.506716522,-29.37170112,5.396311103,8.712376194,1.504715984,0.86867975,82.52354801,-7.721959896,-1.602809846,0.421897536,-4.814234274,2.516224885,-2.802408752,50,5.72670059,6.569455594,-129.4465239,-5.404899039,-8.249249532,24.52261508,-27.86246633
112,7/8/2018,4,1,Player B,111112,Right,Left,Undefined,4,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.73140577,-1.754856065,-2.300176399,2255.480442,199.264553,12:45,6.164386107,2.978643421,6.329564203,-14.97846644,16.09528852,6.318695987,3.070689866,1.272310618,87.43963842,-4.795332332,-1.355658359,0.398573322,-3.260212942,8.205950629,-2.806266909,50,5.90762386,5.338730605,-137.0864128,-4.744387128,-6.310721304,25.42056166,-16.28997338
111,7/8/2018,3,2,Player B,111112,Right,Right,Undefined,4,Bottom,0,1,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Double,0,1,,93.44836582,-2.177028667,-3.449754359,2244.368385,216.3163787,1:15,6.163738131,2.689818447,6.431679724,-13.64512157,18.01536659,13.29179621,2.792151127,0.505815248,85.79979817,-4.996581754,-1.178668175,0.402368071,-7.51292164,9.512146984,-2.439267431,50,5.879663765,7.836629672,-136.3792338,-5.671989248,-14.16197943,29.74722749,-14.24349685
