player_code,year,tpa,sb,avg,slg,avg_exit_speed,hard_hit_perc
2861382,2015,535,2,0.231263383,0.325481799,86.93004937,0.195121951
2279112,2018,535,28,0.291925466,0.451345756,88.8159627,0.362768496
2257140,2016,535,42,0.269487751,0.440979955,88.4539841,0.372881356
2223864,2015,535,13,0.241304348,0.330434783,86.08889122,0.327433628
2636580,2010,534,27,0.257201646,0.366255144,,
2808298,2014,534,15,0.283613445,0.523109244,90.37103549,0.294117647
2226180,2014,534,21,0.244111349,0.340471092,85.12457279,0.222222222
2211144,2014,534,1,0.264392324,0.396588486,89.09272141,0.323529412
2181684,2018,533,0,0.239740821,0.425485961,91.22094477,0.473053892
2280972,2018,533,17,0.273522976,0.36761488,87.54783253,0.284900285
2230992,2014,532,34,0.245575221,0.373893805,86.06659794,0.269230769
2254782,2017,532,18,0.263485477,0.375518672,86.00212762,0.309309309
2235918,2016,531,23,0.247191011,0.406741573,85.4371047,0.238754325
2177034,2018,531,1,0.285714286,0.47826087,88.51389696,0.384615385
2221566,2014,529,7,0.243186583,0.352201258,86.20744713,0.254901961
2244204,2016,528,31,0.220750552,0.302428256,84.83149163,0.194756554
2222460,2016,528,11,0.293617021,0.436170213,87.90314132,0.381107492
2253888,2017,527,8,0.255319149,0.365957447,87.80155079,0.338624339
2214588,2016,527,12,0.265392781,0.433121019,87.83198104,0.328488372
2225040,2014,526,6,0.349473684,0.602105263,91.4520118,0.434108527
2809931,2014,525,11,0.261316872,0.339506173,82.35854509,0.02238806
2233098,2014,525,11,0.261316872,0.339506173,82.30271152,0.177777778
2220186,2014,525,30,0.249457701,0.344902386,86.03190132,0.25
2695322,2013,524,13,0.245495495,0.43018018,86.8074879,0
2234184,2015,524,28,0.265625,0.328125,82.64526798,0.084033613
2220828,2015,523,8,0.243534483,0.372844828,88.4448581,0.333333333
2771222,2013,522,4,0.270440252,0.412997904,89.79638512,0
2273820,2017,522,9,0.246013667,0.391799544,86.42728012,0.28742515
2209734,2015,521,3,0.30982906,0.485042735,92.0173026,0.565217391
2727890,2012,520,36,0.224444444,0.268888889,,
2415274,2013,518,3,0.309255079,0.44469526,90.26729175,0.230769231
2228172,2017,518,0,0.268817204,0.425806452,87.13970417,0.35106383
2818464,2016,517,1,0.274261603,0.373417722,85.69020116,0.135693215
2680763,2013,516,23,0.257847534,0.374439462,83.1458488,0.058479532
2820902,2014,516,7,0.224789916,0.350840336,86.73284621,0.131578947
2235330,2016,515,11,0.251101322,0.4030837,86.26756519,0.296829971
2278050,2018,515,22,0.257019438,0.429805616,88.11467023,0.380368098
2194932,2015,515,4,0.275,0.43125,89.21532065,0.422018349
2261304,2018,515,1,0.282937365,0.410367171,86.64559203,0.315245478
2898435,2017,514,0,0.292110874,0.524520256,91.65996889,0.33125
2682143,2011,513,4,0.285382831,0.526682135,,
2820902,2016,513,1,0.247357294,0.397463002,86.78003751,0.160237389
2874239,2016,513,2,0.270788913,0.420042644,89.33481103,0.233108108
2245188,2017,513,27,0.271523179,0.481236203,86.46743908,0.358361775
2220690,2015,513,5,0.253246753,0.439393939,89.59702022,0.384615385
2249874,2016,513,2,0.270788913,0.420042644,89.31925709,0.368770764
2473004,2012,512,16,0.219512195,0.310421286,,
2230542,2014,511,6,0.300438596,0.442982456,82.92037134,0.195652174
2007966,2014,510,2,0.275784753,0.372197309,85.69258264,0.202702703
2190042,2014,510,0,0.260579065,0.514476615,88.86324101,0.340909091
